event_index,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,symbol,trade_px,trade_qty,mid_at_trade,spread_at_trade,time_since_last_symbol_news,latest_known_eps_for_symbol
7,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.521394+00:00,1775365848521394000,181558858917875,,,,ETF,3199,52,3197.0,-4.0,,
12,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.522000+00:00,1775365848522000000,181558859524000,,,,ETF,3198,74,3197.0,-2.0,,
17,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.522569+00:00,1775365848522569000,181558860093291,,,,ETF,3198,96,3197.5,-1.0,,
22,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.523132+00:00,1775365848523132000,181558860656250,,,,ETF,3198,118,3198.0,0.0,,
161,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.724869+00:00,1775365848724869000,181559062393541,,,,ETF,3191,52,3189.5,-3.0,,
166,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.726042+00:00,1775365848726042000,181559063566833,,,,ETF,3191,74,3190.0,-2.0,,
171,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.726764+00:00,1775365848726764000,181559064288375,,,,ETF,3191,96,3190.5,-1.0,,
176,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.727413+00:00,1775365848727413000,181559064937500,,,,ETF,3191,6,3191.0,0.0,,
603,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:49.327044+00:00,1775365849327044000,181559664569791,,,,ETF,3169,52,3168.0,-2.0,,
608,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:49.328087+00:00,1775365849328087000,181559665613083,,,,ETF,3168,74,3168.0,0.0,,
751,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:49.578222+00:00,1775365849578222000,181559915748708,,,,ETF,3161,52,3159.0,-4.0,,
756,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:49.579170+00:00,1775365849579170000,181559916696458,,,,ETF,3161,74,3159.5,-3.0,,
761,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:49.580151+00:00,1775365849580151000,181559917677791,,,,ETF,3161,96,3160.0,-2.0,,
766,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:49.581118+00:00,1775365849581118000,181559918644291,,,,ETF,3161,6,3160.5,-1.0,,
1482,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.534675+00:00,1775365850534675000,181560872203333,,,,ETF,3139,52,3138.5,-1.0,,
1628,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.736318+00:00,1775365850736318000,181561073846083,,,,ETF,3131,52,3126.5,-9.0,,
1633,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.738545+00:00,1775365850738545000,181561076073166,,,,ETF,3131,74,3127.0,-8.0,,
1638,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.740796+00:00,1775365850740796000,181561078324291,,,,ETF,3131,96,3127.5,-7.0,,
1643,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.743007+00:00,1775365850743007000,181561080535375,,,,ETF,3131,6,3128.0,-6.0,,
1644,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.743143+00:00,1775365850743143000,181561080671416,,,,ETF,3130,52,3128.0,-6.0,,
1645,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.743237+00:00,1775365850743237000,181561080766041,,,,ETF,3129,60,3128.0,-6.0,,
1652,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.745936+00:00,1775365850745936000,181561083464250,,,,ETF,3129,14,3127.5,-3.0,,
1653,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.746044+00:00,1775365850746044000,181561083572750,,,,ETF,3128,96,3127.5,-3.0,,
1654,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.746142+00:00,1775365850746142000,181561083670250,,,,ETF,3127,30,3127.5,-3.0,,
1661,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.749046+00:00,1775365850749046000,181561086573791,,,,ETF,3127,88,3127.0,0.0,,
2223,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:51.563834+00:00,1775365851563834000,181561901363625,,,,ETF,3126,52,3125.0,-2.0,,
2228,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:51.566379+00:00,1775365851566379000,181561903909083,,,,ETF,3125,74,3125.0,0.0,,
2371,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:51.741399+00:00,1775365851741399000,181562078929708,,,,ETF,3118,52,3116.5,-3.0,,
2376,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:51.743211+00:00,1775365851743211000,181562080741375,,,,ETF,3118,74,3117.0,-2.0,,
2381,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:51.744991+00:00,1775365851744991000,181562082521000,,,,ETF,3118,96,3117.5,-1.0,,
2386,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:51.746813+00:00,1775365851746813000,181562084343916,,,,ETF,3118,6,3118.0,0.0,,
2664,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:52.142132+00:00,1775365852142132000,181562479663208,,,,ETF,3116,52,3117.0,-2.0,,
2669,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:52.144009+00:00,1775365852144009000,181562481540166,,,,ETF,3117,74,3117.0,0.0,,
3247,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:52.947580+00:00,1775365852947580000,181563285112916,,,,ETF,3106,52,3103.5,-5.0,,
3252,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:52.949989+00:00,1775365852949989000,181563287521833,,,,ETF,3105,74,3103.5,-3.0,,
3257,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:52.952397+00:00,1775365852952397000,181563289929291,,,,ETF,3104,96,3103.5,-1.0,,
3397,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:53.149727+00:00,1775365853149727000,181563487260250,,,,ETF,3098,52,3097.5,-1.0,,
3402,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:53.151983+00:00,1775365853151983000,181563489515958,,,,ETF,3098,74,3098.0,0.0,,
3548,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:53.346220+00:00,1775365853346220000,181563683753375,,,,ETF,3089,52,3089.0,0.0,,
3691,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:53.552319+00:00,1775365853552319000,181563889853083,,,,ETF,3090,52,3090.5,-1.0,,
3696,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:53.554681+00:00,1775365853554681000,181563892214583,,,,ETF,3090,22,3090.0,0.0,,
5719,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:56.378169+00:00,1775365856378169000,181566715707625,,,,ETF,3105,52,3106.0,-2.0,,
5724,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:56.381173+00:00,1775365856381173000,181566718711791,,,,ETF,3106,74,3106.0,0.0,,
5868,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:56.566759+00:00,1775365856566759000,181566904298208,,,,ETF,3105,52,3105.0,0.0,,
6156,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:56.975668+00:00,1775365856975668000,181567313208291,,,,ETF,3093,52,3090.0,-6.0,,
6161,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:56.978752+00:00,1775365856978752000,181567316292291,,,,ETF,3092,74,3090.0,-4.0,,
6166,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:56.981835+00:00,1775365856981835000,181567319374875,,,,ETF,3091,96,3090.0,-2.0,,
6171,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:56.984862+00:00,1775365856984862000,181567322402291,,,,ETF,3090,118,3090.0,0.0,,
6308,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:57.176665+00:00,1775365857176665000,181567514205166,,,,ETF,3085,52,3084.5,-1.0,,
6313,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:57.179797+00:00,1775365857179797000,181567517337250,,,,ETF,3085,74,3085.0,0.0,,
6740,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:57.882321+00:00,1775365857882321000,181568219862416,,,,ETF,3073,52,3073.0,0.0,,
6885,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:58.010387+00:00,1775365858010387000,181568347928791,,,,ETF,3074,52,3075.0,-2.0,,
6890,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:58.015214+00:00,1775365858015214000,181568352755833,,,,ETF,3074,22,3074.5,-1.0,,
6891,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:58.015297+00:00,1775365858015297000,181568352839083,,,,ETF,3075,52,3074.5,-1.0,,
7611,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:59.032772+00:00,1775365859032772000,181569370315208,,,,ETF,3079,52,3079.0,0.0,,
8486,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:00.189914+00:00,1775365860189914000,181570527460000,,,,ETF,3076,52,3075.5,-1.0,,
9062,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:01.010337+00:00,1775365861010337000,181571347883750,,,,ETF,3072,52,3074.5,-5.0,,
9067,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:01.015587+00:00,1775365861015587000,181571353134666,,,,ETF,3073,74,3074.5,-3.0,,
9072,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:01.021829+00:00,1775365861021829000,181571359376041,,,,ETF,3074,96,3074.5,-1.0,,
10217,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:02.655008+00:00,1775365862655008000,181572992558250,375,,,ETF,3074,52,3075.5,-3.0,,
10222,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:02.661239+00:00,1775365862661239000,181572998789750,375,,,ETF,3075,74,3075.5,-1.0,,
10517,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:03.062187+00:00,1775365863062187000,181573399738166,375,,,ETF,3069,52,3068.0,-2.0,,
10522,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:03.072169+00:00,1775365863072169000,181573409719458,375,,,ETF,3069,74,3068.5,-1.0,,
10527,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:03.082906+00:00,1775365863082906000,181573420456666,375,,,ETF,3069,96,3069.0,0.0,,
10809,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:03.558007+00:00,1775365863558007000,181573895559416,375,,,ETF,3070,52,3071.0,-2.0,,
10814,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:03.562552+00:00,1775365863562552000,181573900103583,375,,,ETF,3071,74,3071.0,0.0,,
10958,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:03.788518+00:00,1775365863788518000,181574126070666,375,,,ETF,3070,52,3068.5,-3.0,,
10963,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:03.797047+00:00,1775365863797047000,181574134599125,375,,,ETF,3070,44,3069.0,-2.0,,
10964,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:03.797490+00:00,1775365863797490000,181574135042791,375,,,ETF,3069,30,3069.0,-2.0,,
10970,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:03.807582+00:00,1775365863807582000,181574145134916,375,,,ETF,3069,88,3069.0,0.0,,
11250,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:04.298224+00:00,1775365864298224000,181574635777708,375,,,ETF,3070,52,3071.0,-2.0,,
11255,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:04.306298+00:00,1775365864306298000,181574643851500,375,,,ETF,3071,74,3071.0,0.0,,
11541,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:04.773073+00:00,1775365864773073000,181575110626666,375,,,ETF,3073,52,3072.0,-2.0,,
11546,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:04.777989+00:00,1775365864777989000,181575115543458,375,,,ETF,3072,74,3072.0,0.0,,
11974,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:05.514838+00:00,1775365865514838000,181575852393000,375,,,ETF,3078,52,3080.0,-4.0,,
11979,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:05.524437+00:00,1775365865524437000,181575861992291,375,,,ETF,3079,74,3080.0,-2.0,,
11984,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:05.534470+00:00,1775365865534470000,181575872025541,375,,,ETF,3079,96,3079.5,-1.0,,
11989,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:05.544567+00:00,1775365865544567000,181575882122083,375,,,ETF,3079,58,3079.0,0.0,,
11990,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:05.545575+00:00,1775365865545575000,181575883131083,375,,,ETF,3079,60,3079.0,0.0,,
12269,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:06.100351+00:00,1775365866100351000,181576437907500,375,,,ETF,3080,52,3080.5,-1.0,,
14300,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:09.876588+00:00,1775365869876588000,181580214151666,375,,,ETF,3071,52,3070.5,-1.0,,
14301,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:09.876682+00:00,1775365869876682000,181580214245208,375,,,ETF,3070,74,3070.5,-1.0,,
